,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_Win%,PlayerA_bestof,PlayerA_minutes,PlayerA_svpt%,PlayerA_1st_serve%,PlayerA_1st_serve_won%,PlayerA_2nd_serve_won%,PlayerA_ace%,PlayerA_df%,PlayerA_bp_faced%,PlayerA_bp_saved%,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_Win%,PlayerB_bestof,PlayerB_minutes,PlayerB_svpt%,PlayerB_1st_serve%,PlayerB_1st_serve_won%,PlayerB_2nd_serve_won%,PlayerB_ace%,PlayerB_df%,PlayerB_bp_faced%,PlayerB_bp_saved%,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
84,Alberto Berasategui,Wayne Ferreira,1994,173,128.0000000000,128.0000000000,102238.0000000000,101965.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,173.0000000000,20.9007530000,23.0000000000,1253.0000000000,0.5000000000,5.0000000000,93.0000000000,0.5243045000,0.7937990000,0.6793365000,0.4618420000,0.0103185000,0.0161325000,0.0762680000,0.5714285000,185.0000000000,22.6858310000,21.0000000000,1384.0000000000,0.5000000000,5.0000000000,143.0000000000,0.5004110000,0.5767130000,0.6602415000,0.4762540000,0.0226525000,0.0181880000,0.0761145000,0.5000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
91,Brett Steven,Marc Kevin Goellner,1995,179,128.0000000000,64.0000000000,101601.0000000000,101806.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,185.0000000000,26.0862430000,49.0000000000,772.0000000000,0.5000000000,5.0000000000,195.0000000000,0.4962910000,0.6825770000,0.6661540000,0.4429590000,0.0317830000,0.0277660000,0.1104545000,0.6047795000,196.0000000000,24.6817250000,82.0000000000,563.0000000000,0.7500000000,5.0000000000,184.0000000000,0.5065647500,0.6612695000,0.7610405000,0.4279742500,0.0819977500,0.0322195000,0.0590370000,0.5167582500,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
108,Alex Corretja,Mark Woodforde,1996,177,128.0000000000,128.0000000000,102374.0000000000,101185.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,180.0000000000,22.1273100000,39.0000000000,965.0000000000,0.5554045993,5.0000000000,93.6893101089,0.5242116595,0.5947165560,0.7292719240,0.4048360321,0.0470072367,0.0216699191,0.0801693302,0.6010445305,188.0000000000,30.6748790000,22.0000000000,1185.0000000000,0.5000000000,5.0000000000,214.5000000000,0.4894505000,0.6046725000,0.7867895000,0.4348580000,0.0377620000,0.0332575000,0.0536755000,0.6071430000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
109,Goran Ivanisevic,Jordi Arrese,1996,177,128.0000000000,128.0000000000,101964.0000000000,101063.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,193.0000000000,24.7036290000,6.0000000000,2882.0000000000,0.6666666667,5.0000000000,120.0000000000,0.5082656667,0.5278733333,0.8908526667,0.5133426667,0.0652940000,0.0354290000,0.0621253333,0.8382353333,175.0000000000,31.7426410000,90.0000000000,535.0000000000,0.6666666667,5.0000000000,159.3333333333,0.4861896667,0.7041470000,0.6764736667,0.5244423333,0.0179310000,0.0241963333,0.0741950000,0.4959593333,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
112,Marc Rosset,Carl Uwe Steeb,1996,177,128.0000000000,128.0000000000,101820.0000000000,101391.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,201.0000000000,25.5523610000,15.0000000000,1445.0000000000,0.5000000000,5.0000000000,153.0000000000,0.5460120000,0.6250695000,0.6422350000,0.4587300000,0.0414635000,0.0221950000,0.1014830000,0.6038965000,180.0000000000,28.7364830000,68.0000000000,710.0000000000,0.5000000000,5.0000000000,137.5000000000,0.5330860000,0.5735835000,0.6852970000,0.4840815000,0.0193355000,0.0175655000,0.0852535000,0.6313130000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
133,Renzo Furlan,Brett Steven,1996,177,128.0000000000,64.0000000000,101746.0000000000,101601.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,175.0000000000,26.0287480000,21.0000000000,1187.0000000000,0.5000000000,5.0000000000,112.5000000000,0.4364740000,0.5746755000,0.6701700000,0.6576800000,0.0173180000,0.0118235000,0.0641235000,0.5277780000,185.0000000000,27.0828210000,48.0000000000,869.0000000000,0.7196746485,5.0000000000,154.1405153789,0.4631811976,0.6866554795,0.6909926125,0.5136129572,0.0348105560,0.0204218372,0.0721439003,0.4489073761,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
137,Richard Krajicek,Tomas Carbonell,1996,177,128.0000000000,64.0000000000,101990.0000000000,101507.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,196.0000000000,24.4736480000,14.0000000000,1464.0000000000,0.8333333333,5.0000000000,171.3333333333,0.5220818333,0.6921366667,0.7961548333,0.4283876667,0.0664003333,0.0368328333,0.0446091667,0.5190476667,178.0000000000,27.8028760000,49.0000000000,869.0000000000,0.3077646520,5.0000000000,88.8569331419,0.5032337866,0.7058643051,0.6503095808,0.4841387451,0.0126834729,0.0363008606,0.1080218999,0.7409420307,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
154,Wayne Ferreira,Renzo Furlan,1996,177,128.0000000000,32.0000000000,101965.0000000000,101746.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,185.0000000000,24.6981530000,11.0000000000,1828.0000000000,0.3077646520,5.0000000000,88.4051611564,0.5477462632,0.6060665687,0.6587068852,0.4288437651,0.0429600499,0.0111952470,0.0860824795,0.5384470696,175.0000000000,26.0287480000,21.0000000000,1187.0000000000,0.5000000000,5.0000000000,112.5000000000,0.4364740000,0.5746755000,0.6701700000,0.6576800000,0.0173180000,0.0118235000,0.0641235000,0.5277780000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
173,Marc Rosset,Stefan Edberg,1996,177,128.0000000000,16.0000000000,101820.0000000000,101222.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,201.0000000000,25.5523610000,15.0000000000,1445.0000000000,0.5000000000,5.0000000000,153.0000000000,0.5460120000,0.6250695000,0.6422350000,0.4587300000,0.0414635000,0.0221950000,0.1014830000,0.6038965000,188.0000000000,30.3518140000,45.0000000000,899.0000000000,0.8000000000,5.0000000000,159.2000000000,0.5140682000,0.5624378000,0.7599912000,0.4562182000,0.0277768000,0.0479150000,0.0605390000,0.5424090000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
191,Andrei Medvedev,Alberto Berasategui,1997,176,128.0000000000,128.0000000000,102446.0000000000,102238.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,193.0000000000,22.7351130000,20.0000000000,1503.0000000000,0.7017467057,5.0000000000,140.9161559277,0.5347287474,0.6341887608,0.7030663498,0.5176028214,0.0477967520,0.0217260394,0.0814472230,0.6837252597,173.0000000000,23.9096510000,13.0000000000,1803.0000000000,0.7148400491,5.0000000000,83.7843049505,0.4632670722,0.7846874638,0.6531849797,0.4770525364,0.0071450843,0.0186325401,0.0803285968,0.6623932760,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
