,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
0,Patrick Mcenroe,Richey Reneberg,1995,206,128.0000000000,128.0000000000,101265.0000000000,101191.0000000000,0.0000000000,0.0000000000,0.3270603508,-0.1709916968,0.4614762617,-0.0731500502,0.3820239862,0.0032693199,3.0188666490,0.7650534249,1.9765767253,-0.5809765751,-0.1025673841,-0.5146711126,-0.2405719474,0.5168886120,1.4256318086,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
1,Jacco Eltingh,Michael Stich,1995,206,128.0000000000,128.0000000000,101797.0000000000,101529.0000000000,0.0000000000,0.0000000000,-0.5231571560,-0.4183967952,0.4132006935,-0.3849093712,-0.7077014813,0.0032693199,1.7432162364,0.4667184886,0.6647243975,-1.3303583916,-0.5533548199,-0.1130202709,0.6774363395,1.3173377087,1.1234832450,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
2,David Prinosil,Marc Kevin Goellner,1995,206,128.0000000000,128.0000000000,102184.0000000000,101806.0000000000,0.0000000000,0.0000000000,-1.1608202862,-0.5502263541,0.3166495572,-0.0415968516,-0.0495401007,0.0032693199,1.4479711927,0.2665285090,0.0798555125,-1.7664404401,-0.4890548947,-2.1445181311,-0.2494493126,1.6793132030,0.6307713383,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
3,Vincent Spadea,Paul Haarhuis,1995,206,128.0000000000,128.0000000000,102434.0000000000,101235.0000000000,0.0000000000,0.0000000000,-0.5231571560,-1.8582849917,0.9925075118,-0.1688385547,0.1820721642,0.0032693199,-3.0714907777,0.5681945775,0.1137326143,-1.1534943174,-0.5804662452,-1.3242704579,0.8462155685,1.5383052743,0.9684027519,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
4,Patrick Rafter,Mark Woodforde,1995,206,128.0000000000,128.0000000000,102158.0000000000,101185.0000000000,0.0000000000,0.0000000000,-0.3106027793,-1.6060637328,0.7752674549,-0.1208228177,-1.1666183619,0.0032693199,-2.5956396007,1.8771988016,0.2825460683,-0.1095672438,-1.0436270048,0.4594266583,-0.0843006433,0.6144497904,-0.6281161747,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
5,Wayne Ferreira,Daniel Vacek,1995,206,128.0000000000,128.0000000000,101965.0000000000,101888.0000000000,0.0000000000,0.0000000000,-0.5231571560,-0.1095915318,-1.3488575453,0.5911819682,-1.0093402777,0.0032693199,1.9397933970,-0.5761516370,-0.0475858352,-0.8761564121,-0.1487661700,-0.1708799289,-1.1770639935,0.1792777304,-1.6620176120,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
6,Jan Siemerink,Andrei Chesnokov,1995,206,128.0000000000,128.0000000000,101733.0000000000,101230.0000000000,0.0000000000,0.0000000000,-0.5231571560,-0.9312665495,0.3649251253,-0.0686914461,0.4068617931,0.0032693199,0.3409582007,0.2756668812,-0.6430349958,1.4826185101,-1.5590439280,0.2454268405,1.3806428154,-0.2128969353,0.2422014192,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
7,Malivai Washington,Alexander Volkov,1995,206,128.0000000000,128.0000000000,101613.0000000000,101334.0000000000,0.0000000000,0.0000000000,-0.8419887211,-0.5147105509,0.1235472844,-0.0361093388,1.0821313272,0.0032693199,2.1557411135,1.2173827053,0.1459229213,0.4718716017,2.1455129913,0.3359200737,-0.9605093246,-1.6540233074,-0.3857327757,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
8,Andrei Medvedev,Jeff Tarango,1995,206,128.0000000000,64.0000000000,102446.0000000000,101543.0000000000,0.0000000000,0.0000000000,1.3898322345,-1.2791997914,-1.4936842499,0.3315540188,1.8659266802,0.0032693199,1.0839329310,-1.4410750739,-0.8969220341,1.6447896817,0.1815771003,0.5677465274,-0.3496484905,-1.0225034902,-2.6112245870,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
9,Mark Woodforde,Paul Haarhuis,1995,206,128.0000000000,64.0000000000,101185.0000000000,101235.0000000000,0.0000000000,0.0000000000,0.0082287858,0.0806277894,0.1718228526,-0.0573734509,0.6575451477,0.0032693199,0.9311426788,0.0489944154,-0.9158797224,0.8876084526,-2.0323771469,-0.4656021210,2.4143910312,-0.2442836409,0.2344265727,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
