,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
0,Brett Steven,Marc Kevin Goellner,1995,179,128.0000000000,64.0000000000,101601.0000000000,101806.0000000000,0.0000000000,0.0000000000,-1.2332912092,0.3588517286,-0.8332911498,0.1180495762,-1.0090633999,0.0000000000,0.3978783633,-0.3391648326,0.2471487154,-1.4945279957,0.1805659310,-1.6415047012,-0.2676947215,1.9400557894,0.7401886930,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
1,Mark Woodforde,Alex Corretja,1996,177,128.0000000000,128.0000000000,101185.0000000000,102374.0000000000,0.0000000000,0.0000000000,0.8201802740,2.0631722529,-0.4393550144,0.1215622834,-0.2188300221,0.0000000000,4.5160761257,-1.2449493276,0.0995887614,0.8875793400,0.4195964073,-0.3496772501,0.8686035669,-0.9327665251,0.0332672902,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,Jordi Arrese,Goran Ivanisevic,1996,177,128.0000000000,128.0000000000,101063.0000000000,101964.0000000000,0.0000000000,0.0000000000,-1.9898333346,1.7032329697,2.0473668404,-0.6981758616,0.0061627758,0.0000000000,1.4604549672,-0.7757277551,2.2615686273,-3.3622205685,0.1188089397,-1.5515849381,-0.7479089643,0.4891842250,-2.9728973827,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,Carl Uwe Steeb,Marc Rosset,1996,177,128.0000000000,128.0000000000,101391.0000000000,101820.0000000000,0.0000000000,0.0000000000,-2.3140656741,0.7834623918,1.2841155780,-0.1834045761,0.0061627758,0.0000000000,-0.5959432839,-0.4372710421,-0.6991009014,0.6616356872,0.3453550035,-0.7558892340,-0.2801619923,-0.5542901627,0.2172231073,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
4,Renzo Furlan,Brett Steven,1996,177,128.0000000000,64.0000000000,101746.0000000000,101601.0000000000,0.0000000000,0.0000000000,-1.1252137627,-0.2277641449,-0.6855650990,0.1528573120,-0.8859150374,0.0000000000,-1.5762832858,-0.9470348498,-1.4854678836,-0.3368940639,2.2324482763,-0.6097270435,-0.5613015829,-0.2515962575,0.6612268535,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
5,Richard Krajicek,Tomas Carbonell,1996,177,128.0000000000,64.0000000000,101990.0000000000,101507.0000000000,0.0000000000,0.0000000000,1.9009547389,-0.7706124827,-0.8825331667,0.2413136681,2.1404471053,0.0000000000,3.0784366189,0.7380447399,-0.2082763745,2.2681592540,-0.9438454373,1.6356078769,0.0854600397,-2.2940762100,-1.9341099482,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
6,Renzo Furlan,Wayne Ferreira,1996,177,128.0000000000,32.0000000000,101746.0000000000,101965.0000000000,0.0000000000,0.0000000000,-1.1252137627,0.3412138193,0.2254122141,-0.1533868957,0.7868122045,0.0000000000,0.8889702240,-4.0750801109,-0.4378849818,0.1677385540,3.5799329306,-0.8666922619,0.0922802248,-0.7655531012,-0.1114217961,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
7,Stefan Edberg,Marc Rosset,1996,177,128.0000000000,16.0000000000,101222.0000000000,101820.0000000000,0.0000000000,0.0000000000,-1.4494461022,1.1688777804,0.7178323834,-0.1230498783,1.2244341866,0.0000000000,0.2178653857,-1.1407357499,-0.8439849137,1.8291215342,-0.0975579020,-0.4897229512,1.8696984266,-1.4655872348,-0.5499400676,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
8,Alberto Berasategui,Andrei Medvedev,1997,176,128.0000000000,128.0000000000,102238.0000000000,102446.0000000000,0.0000000000,0.0000000000,-2.2059882276,0.3039788691,-0.1931449297,0.1471092455,0.0593335956,0.0000000000,-2.1572502542,-2.6024942357,1.9265174273,-0.7910884756,-0.7022147772,-1.3399670154,-0.1713566707,0.0028926672,-0.2034333483,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
9,Jonas Bjorkman,Richey Reneberg,1997,176,128.0000000000,128.0000000000,102035.0000000000,101191.0000000000,0.0000000000,0.0000000000,0.2797930416,-1.5185795684,-0.5132180398,0.1787236110,0.6008627374,0.0000000000,0.4949296691,-0.8771282988,1.0626829875,-0.3872658744,1.1007955070,-0.4134890028,-0.7684116532,-0.8809008807,0.0527849245,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
10,Marc Kevin Goellner,Thomas Muster,1997,176,128.0000000000,128.0000000000,101806.0000000000,101404.0000000000,0.0000000000,0.0000000000,1.6847998459,-0.6856903024,0.8409374257,-0.5046576240,-0.9182745449,0.0000000000,1.2955647578,2.7535452221,-1.0875348215,1.4594566524,-0.6309031543,2.1160491637,1.1169506369,-0.9776547965,-0.9778890234,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
11,Richard Krajicek,Scott Draper,1997,176,128.0000000000,128.0000000000,101990.0000000000,102401.0000000000,0.0000000000,0.0000000000,1.9009547389,0.6194968570,-1.3995743444,0.6283501433,0.1530113761,0.0000000000,0.9711036658,0.2125139946,1.3679567292,1.0894191840,-1.6206015848,0.4407307872,0.5243743726,-0.9684347246,0.3934173350,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
12,Javier Sanchez,Mark Woodforde,1997,176,128.0000000000,128.0000000000,101439.0000000000,101185.0000000000,0.0000000000,0.0000000000,-1.1252137627,-0.5387091559,-0.9317751836,0.1812783072,0.0061627758,0.0000000000,-1.2967185636,0.8480753380,0.3446945022,-0.5879850841,-1.0929487280,0.3805977153,0.6834943122,-0.1551649875,-0.6539299886,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
13,Albert Costa,Adrian Voinea,1997,176,128.0000000000,128.0000000000,102610.0000000000,102437.0000000000,0.0000000000,0.0000000000,-0.5848265303,-0.1872625441,-1.8427524967,0.4472860497,-0.6706546748,0.0000000000,0.7854063012,-1.3865835561,2.6740992375,-0.6986326189,1.1141083928,-1.0030063283,-1.3026670945,-0.0605610646,-0.7006030428,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
14,Mikael Tillstrom,Wayne Ferreira,1997,176,128.0000000000,128.0000000000,102025.0000000000,101965.0000000000,0.0000000000,0.0000000000,-0.0444392979,-0.0886226260,0.7670744003,-0.1830852391,-0.1513583524,0.0000000000,0.7756164692,-1.3503242409,2.4477725221,-1.2647469050,-1.3049688467,-1.4128780269,-1.1306307932,1.4378781715,0.2161648978,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
15,Kenneth Carlsen,Todd Woodbridge,1997,176,128.0000000000,128.0000000000,102202.0000000000,101889.0000000000,0.0000000000,0.0000000000,1.2524900600,-0.4635866890,1.4072206203,-0.1600929733,-0.9335896204,0.0000000000,1.0905231769,1.6194562014,-0.1634304369,0.7404312583,-0.6343361462,0.8082833680,-2.2727069179,1.0022722751,1.4269425473,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
16,Magnus Larsson,Jim Courier,1997,176,128.0000000000,128.0000000000,101723.0000000000,101793.0000000000,0.0000000000,0.0000000000,0.8201802740,0.1184566849,0.3977592734,-0.0678045728,-1.7967103079,0.0000000000,-1.1074269280,0.4497326120,0.6406689552,-0.9684458049,-0.9448238998,-0.3400501015,-0.2124547241,1.2963797520,0.2026487190,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
17,Richard Fromberg,Felix Mantilla,1997,176,128.0000000000,128.0000000000,101735.0000000000,102456.0000000000,0.0000000000,0.0000000000,1.6847998459,1.0748103621,1.9242617981,-0.3459471222,0.6829802264,0.0000000000,-0.7709559010,1.1372061612,-0.6198952490,2.5255848253,-0.3626203195,1.8444029166,0.9764232020,-2.1636786347,-0.3650770178,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
18,Francisco Clavet,Pete Sampras,1997,176,128.0000000000,64.0000000000,101532.0000000000,101948.0000000000,0.0000000000,0.0000000000,-0.2605941908,0.6913538663,0.7178323834,-1.1985769809,-0.6368628045,0.0000000000,-0.2434113375,-2.7274154311,0.4284773959,-2.2279811529,0.3549141669,-2.0908186433,-0.0506035668,1.5451585097,-1.2811615373,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
19,Jason Stoltenberg,Marc Rosset,1997,176,128.0000000000,64.0000000000,101727.0000000000,101820.0000000000,0.0000000000,0.0000000000,-1.7736784416,0.1654906326,0.4470012903,-0.0812167279,-1.6417597918,0.0000000000,-1.0228236283,0.4894085239,-1.4518550319,-1.0422955329,0.9243937974,-0.5945655167,0.3985882741,0.2410918760,-0.2785353000,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
20,Thomas Muster,Jeff Tarango,1997,176,128.0000000000,64.0000000000,101404.0000000000,101543.0000000000,0.0000000000,0.0000000000,-0.0444392979,0.2948333925,-1.7196474544,0.7397987653,0.5193295561,0.0000000000,-0.3421705383,-2.2587980131,0.3653117635,-0.5142456131,1.7825220064,-0.5040465207,-0.6997545490,-0.7492474673,0.2237402553,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
21,Bohdan Ulihrach,Richard Krajicek,1997,176,128.0000000000,64.0000000000,102539.0000000000,101990.0000000000,0.0000000000,0.0000000000,-0.9090588698,-0.7438293354,0.4962433072,-0.3510565146,-1.1559120002,0.0000000000,-0.9066496607,-4.4027944298,-0.7627575199,-2.9318705041,-0.2931481651,-1.5157200838,0.3865458468,1.5101411440,-2.4880040351,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
22,Carlos Costa,Petr Korda,1997,176,128.0000000000,64.0000000000,101475.0000000000,101434.0000000000,0.0000000000,0.0000000000,-0.8009814233,-0.0350560927,1.4318416288,-0.1652023657,0.0275048864,0.0000000000,1.9362022789,0.7570050369,-1.2008825096,0.8377415371,0.4905787064,0.6818216477,-1.1783769409,-0.3209217520,0.7004797682,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
