,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
0,Thomas Johansson,Radek Stepanek,2005,296,32.0000000000,4.0000000000,102563.0000000000,103285.0000000000,0.0000000000,0.0000000000,-0.4804504231,0.8873629332,-0.1227972166,0.0049633225,-0.0685822048,-0.1810761999,-1.4572185164,-0.9619172533,-1.3277666110,-0.0723328034,0.9065605669,0.3741816220,-1.0968539915,-0.4617301425,-0.9316605101,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,Guillermo Coria,Fernando Gonzalez,2005,152,64.0000000000,64.0000000000,103909.0000000000,103602.0000000000,0.0000000000,0.0000000000,-0.7777989082,-0.3254143416,-0.6468447276,0.1572250842,1.2530735711,1.3047323688,0.9001564818,-1.3908572086,1.3705519625,-0.3777582595,1.8910843315,-0.5543095644,-2.2408276209,-1.1406975406,-0.9405499346,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2,Tommy Haas,Nicolas Kiefer,2005,152,64.0000000000,64.0000000000,103163.0000000000,103017.0000000000,0.0000000000,0.0000000000,0.5107111941,-0.1567756417,-0.5719807974,0.0399086449,-1.3993719933,-0.3883466114,-0.9783562308,-0.4103327770,0.2053298947,-0.1581291350,0.2012286673,0.0458849398,-0.7114131100,-1.7373617924,-1.6897791878,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
3,Feliciano Lopez,Thomas Johansson,2005,152,64.0000000000,64.0000000000,103852.0000000000,102563.0000000000,0.0000000000,0.0000000000,0.8080596793,-1.5136389314,0.7007060150,-0.0344749699,-0.4697961412,0.6276287798,0.0359917403,-0.1134244930,1.2984642150,0.0936573849,-1.2701523929,0.0106723224,-0.3989492084,0.1895018489,-0.4645282779,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
4,Mikhail Youzhny,Rafael Nadal,2005,152,64.0000000000,64.0000000000,104022.0000000000,104745.0000000000,0.0000000000,0.0000000000,-0.1831019379,0.9487448816,1.4493453164,-0.2321656506,-1.6128140662,-1.3379274583,-2.4850124318,2.0742158697,-2.6002223937,-1.3704750045,-2.3170866925,0.0169849652,1.2075145830,2.5085421334,4.3180625502,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
5,Guillermo Canas,Andrei Pavel,2005,152,64.0000000000,64.0000000000,103084.0000000000,102318.0000000000,0.0000000000,0.0000000000,0.2133627089,-0.8843123024,-1.3954840290,0.1534809425,0.8087358555,1.9169691204,1.6510260684,-0.6223559876,-0.7303796242,0.3351639335,0.8099808530,-0.1995026015,0.3839328632,0.0833759199,2.1159865639,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
6,Mario Ancic,Radek Stepanek,2005,152,64.0000000000,64.0000000000,104339.0000000000,103285.0000000000,0.0000000000,0.0000000000,1.1054081644,-1.2409740467,0.1766585040,-0.0187495748,-0.1107316000,-1.0530313430,-0.6315573500,0.2641235921,-0.3690067264,0.8568455546,-0.3234038659,0.2055917470,-0.8122776523,-0.7749904292,0.7939548277,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
7,Marat Safin,Jiri Novak,2005,152,64.0000000000,64.0000000000,103498.0000000000,102562.0000000000,0.0000000000,0.0000000000,0.3124788707,-1.1259633686,-1.3954840290,0.4729810326,0.9301580918,0.2795798535,2.1378083586,0.5249661704,-1.3586540275,1.2979853041,2.0901551850,1.1809184273,-0.1076133182,-1.6632952870,0.3799613272,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
8,Guillermo Coria,Nicolas Kiefer,2005,152,64.0000000000,32.0000000000,103909.0000000000,103017.0000000000,0.0000000000,0.0000000000,-0.7777989082,-1.0490747470,-1.3954840290,0.2071469733,1.0087025064,1.8387925076,0.6023743988,-1.2537837062,2.1063816299,-1.1581990435,1.3898741438,-0.8898482321,-1.4282757208,-0.4548554036,-0.4557580068,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
9,Nicolas Massu,Tim Henman,2005,152,64.0000000000,32.0000000000,103454.0000000000,102450.0000000000,0.0000000000,0.0000000000,-0.1831019379,-1.1828224291,1.1498895958,-0.2259254145,0.2256406419,-0.9827030560,-0.1461125132,-1.0117620892,-0.1477702939,-0.3934996376,-0.7013742992,-0.2048467193,-0.0425837720,1.0737619272,1.3492017101,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
10,Ivan Ljubicic,Sebastien Grosjean,2005,152,64.0000000000,32.0000000000,103344.0000000000,103206.0000000000,0.0000000000,0.0000000000,1.7992212964,-0.1709902298,-1.0211643783,0.1172875729,0.5181556064,-1.5791075923,0.2838857211,0.1299445711,1.4367607394,0.7192044420,0.7634078455,1.2937963394,-0.2699008190,-1.0049223939,0.8696768995,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
11,David Ferrer,Thomas Johansson,2005,152,64.0000000000,32.0000000000,103970.0000000000,102563.0000000000,0.0000000000,0.0000000000,-0.4804504231,-1.6389867623,0.5509781547,-0.0244905920,-0.3175854344,-0.7673331944,-0.0791925378,-0.7761123852,2.1408871722,-3.4000272413,-0.9017961927,-1.9948544190,-0.7817343443,1.5016907911,-1.8324668121,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
12,Tim Henman,Dominik Hrbaty,2005,152,64.0000000000,16.0000000000,102450.0000000000,103103.0000000000,0.0000000000,0.0000000000,0.2133627089,0.8046588666,-1.3206200988,0.2318583084,0.6929970413,-0.4228560921,0.5134616436,0.9856038630,0.0952628327,1.2549610418,0.0803436964,0.2998898752,-0.1744734005,-0.9952043392,-0.2802985763,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
13,Andre Agassi,Ivan Ljubicic,2005,152,64.0000000000,16.0000000000,101736.0000000000,103344.0000000000,0.0000000000,0.0000000000,-1.2733797168,2.1162939857,-0.3473890070,0.1035590534,0.9038228551,2.2475778524,-0.6471771362,-2.6274244095,0.0154134838,-0.1892218246,0.4412158086,-1.1324678871,0.6518773607,0.2002583080,-1.2089146306,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
14,Gaston Gaudio,David Ferrer,2005,152,64.0000000000,16.0000000000,103292.0000000000,103970.0000000000,0.0000000000,0.0000000000,0.0151303855,0.8007816673,-1.4703479591,0.2683012874,0.5176455284,0.6555593180,1.1417354042,-0.3008901586,-0.4222944804,2.3333512270,-0.7555752199,0.4885499365,1.5748160153,-0.7437909625,2.1540184048,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
15,Rafael Nadal,Guillermo Canas,2005,152,64.0000000000,16.0000000000,104745.0000000000,103084.0000000000,0.0000000000,0.0000000000,0.0151303855,-1.9917717793,-0.4222529371,0.1023110062,1.2720742660,0.2692408308,0.8554900190,-0.5321351670,1.9752357987,0.1501732117,1.1567560500,-0.4260422859,-1.0235782409,-1.5277018554,-4.1180480274,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
16,Andre Agassi,Dominik Hrbaty,2005,152,64.0000000000,8.0000000000,101736.0000000000,103103.0000000000,0.0000000000,0.0000000000,-0.2822180997,1.8326448437,-1.0960283084,0.2044012694,1.6108753839,0.1482541990,0.1640278953,-0.8421517682,0.5585384442,2.0072467812,0.8116745615,0.7211555136,-1.6668033947,-1.4542149436,0.9488031487,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
