,importance
Win%_diff,0.22509448019833306
rank_points_diff,0.1611847354679447
rank_diff,0.12416609847721172
2nd_serve_won%_diff,0.09267446051817164
bp_faced%_diff,0.06939737863046291
age_diff,0.050068976078540536
1st_serve_won%_diff,0.04618102865288544
bestof_diff,0.03852547013001091
svpt%_diff,0.03438306507045375
df%_diff,0.03371409762123911
ace%_diff,0.03271493969864109
bp_saved%_diff,0.030523521417639428
1st_serve%_diff,0.029959612885916732
minutes_diff,0.028885685912355623
Same_handedness,0.002526449240193331
