Nb sets max,PlayerA,PlayerB,PlayerA ranking,PlayerB ranking,PlayerA Win,Court_Indoor,Court_Outdoor,Series_ATP250,Series_ATP500,Series_Grand Slam,Series_International,Series_International Gold,Series_Masters,Series_Masters 1000,Series_Masters Cup,Surface_Carpet,Surface_Clay,Surface_Grass,Surface_Hard
3,LJUBICIC I.,DOSEDEL S.,77,63,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,CLEMENT A.,ENQVIST T.,56,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ESCUDE N.,BACCANELLO P.,40,655,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,FEDERER R.,KNIPPSCHILD J.,65,87,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,WOODBRIDGE T.,FROMBERG R.,198,81,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,GAMBILL J.M.,ARTHURS W.,58,105,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ILIE A.,GROSJEAN S.,51,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,BALCELLS J.,HENMAN T.,218,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,WOODFORDE M.,HEWITT L.,129,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,LISNARD J.,TEBBUTT M.,134,351,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,MARTIN A.,SPADEA V.,55,21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,DRAPER S.,NORMAN M.,155,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,PETROVIC D.,HUET S.,208,122,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,POZZI G.,SEKULOV J.,79,142,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,STOLTENBERG J.,HRBATY D.,84,20,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,VINCK C.,GOLDSTEIN P.,227,88,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ENQVIST T.,FEDERER R.,5,65,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,DOSEDEL S.,ESCUDE N.,63,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,GROSJEAN S.,GAMBILL J.M.,26,58,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,HENMAN T.,LISNARD J.,11,134,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,HEWITT L.,PETROVIC D.,24,208,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,MARTIN A.,SEKULOV J.,55,142,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,NORMAN M.,FROMBERG R.,15,81,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,VINCK C.,STOLTENBERG J.,227,84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ENQVIST T.,GROSJEAN S.,5,26,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,HENMAN T.,ESCUDE N.,11,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,HEWITT L.,STOLTENBERG J.,24,84,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,NORMAN M.,MARTIN A.,15,55,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ENQVIST T.,NORMAN M.,5,15,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,HEWITT L.,ESCUDE N.,24,40,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ENQVIST T.,HEWITT L.,5,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,KUMAR S.,AGENOR R.,1198,94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,POPP A.,BEHREND T.,124,116,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ROCHUS C.,DAMM M.,120,104,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,BLACK B.,DELGADO J.,67,162,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,GOLMARD J.,SPOTTL M.,38,200,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,HANTSCHK M.,TIELEMAN L.,128,89,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,JONSSON F.,KROSLAK J.,127,103,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,OGORODOV O.,KETOLA T.,135,163,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,ZIB T.,MANTA L.,115,117,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,BOUTTER J.,PAES L.,137,145,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,PIOLINE C.,RAM A.,14,414,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,SANGUINETTI D.,VOINEA A.,121,100,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,KILDERRY P.,STANOYTCHEV O.,342,111,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,TABARA M.,KAFELNIKOV Y.,125,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,VANEK J.,ISHII Y.,160,238,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,LOPEZ-MORON A.,VINCIGUERRA A.,113,99,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,AGENOR R.,DAMM M.,94,104,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,DELGADO J.,STANOYTCHEV O.,162,111,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,JONSSON F.,GOLMARD J.,127,38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,HANTSCHK M.,BEHREND T.,128,116,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,KETOLA T.,VANEK J.,163,160,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,TABARA M.,MANTA L.,125,117,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,PAES L.,PIOLINE C.,145,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,SANGUINETTI D.,VINCIGUERRA A.,121,99,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3,DAMM M.,MANTA L.,104,117,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
