tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,tourney_year_id
2018,1,b'Brisbane',339,brisbane,"b'Brisbane, Australia'",2017.12.31,12,31,28,28,Outdoor,Hard,"b'$528,910'",/en/scores/archive/brisbane/339/2018/results,Nick Kyrgios,/en/players/nick-kyrgios/ke17/overview,nick-kyrgios,ke17,Henri Kontinen,/en/players/henri-kontinen/ka80/overview,henri-kontinen,ka80,John Peers,/en/players/john-peers/pc96/overview,john-peers,pc96,2018-339
2018,2,b'Doha',451,doha,"b'Doha, Qatar'",2018.01.01,1,1,32,32,Outdoor,Hard,"b'$1,386,665'",/en/scores/archive/doha/451/2018/results,Gael Monfils,/en/players/gael-monfils/mc65/overview,gael-monfils,mc65,Oliver Marach,/en/players/oliver-marach/m760/overview,oliver-marach,m760,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00,2018-451
2018,3,b'Pune',891,pune,"b'Pune, India'",2018.01.01,1,1,28,28,Outdoor,Hard,"b'$561,345'",/en/scores/archive/pune/891/2018/results,Gilles Simon,/en/players/gilles-simon/sd32/overview,gilles-simon,sd32,Robin Haase,/en/players/robin-haase/h756/overview,robin-haase,h756,Matwe Middelkoop,/en/players/matwe-middelkoop/mb88/overview,matwe-middelkoop,mb88,2018-891
2018,4,b'Sydney',338,sydney,"b'Sydney, Australia'",2018.01.07,1,7,28,28,Outdoor,Hard,"b'$528,910'",/en/scores/archive/sydney/338/2018/results,Daniil Medvedev,/en/players/daniil-medvedev/mm58/overview,daniil-medvedev,mm58,Lukasz Kubot,/en/players/lukasz-kubot/k540/overview,lukasz-kubot,k540,Marcelo Melo,/en/players/marcelo-melo/m919/overview,marcelo-melo,m919,2018-338
2018,5,b'Auckland',301,auckland,"b'Auckland, New Zealand'",2018.01.08,1,8,28,28,Outdoor,Hard,"b'$561,345'",/en/scores/archive/auckland/301/2018/results,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,bd06,Oliver Marach,/en/players/oliver-marach/m760/overview,oliver-marach,m760,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00,2018-301
2018,6,b'Australian Open',580,australian-open,"b'Melbourne, Australia'",2018.01.15,1,15,128,128,Outdoor,Hard,"b'A$25,096,000'",/en/scores/archive/australian-open/580/2018/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Oliver Marach,/en/players/oliver-marach/m760/overview,oliver-marach,m760,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00,2018-580
2018,7,b'Montpellier',375,montpellier,"b'Montpellier, France'",2018.02.05,2,5,28,28,Indoor,Hard,"b'\xe2\x82\xac561,345'",/en/scores/archive/montpellier/375/2018/results,Lucas Pouille,/en/players/lucas-pouille/pf39/overview,lucas-pouille,pf39,Ken Skupski,/en/players/ken-skupski/sc40/overview,ken-skupski,sc40,Neal Skupski,/en/players/neal-skupski/sl22/overview,neal-skupski,sl22,2018-375
2018,8,b'Quito',7161,quito,"b'Quito, Ecuador'",2018.02.05,2,5,28,28,Outdoor,Clay,"b'$561,345'",/en/scores/archive/quito/7161/2018/results,Roberto Carballes Baena,/en/players/roberto-carballes-baena/cf59/overview,roberto-carballes-baena,cf59,Nicolas Jarry,/en/players/nicolas-jarry/j551/overview,nicolas-jarry,j551,Hans Podlipnik-Castillo,/en/players/hans-podlipnik-castillo/pb37/overview,hans-podlipnik-castillo,pb37,2018-7161
2018,9,b'Sofia',7434,sofia,"b'Sofia, Bulgaria'",2018.02.05,2,5,28,28,Indoor,Hard,"b'\xe2\x82\xac561,345'",/en/scores/archive/sofia/7434/2018/results,Mirza Basic,/en/players/mirza-basic/be67/overview,mirza-basic,be67,Robin Haase,/en/players/robin-haase/h756/overview,robin-haase,h756,Matwe Middelkoop,/en/players/matwe-middelkoop/mb88/overview,matwe-middelkoop,mb88,2018-7434
2018,10,b'Rotterdam',407,rotterdam,"b'Rotterdam, Netherlands'",2018.02.12,2,12,32,32,Indoor,Hard,"b'\xe2\x82\xac1,996,245'",/en/scores/archive/rotterdam/407/2018/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Pierre-Hugues Herbert,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,h996,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873,2018-407
