,PlayerA_name,PlayerB_name,tourney_date,PlayerA_id,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,best_of,minutes,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_12.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,PlayerA_hand_L,PlayerA_hand_R,PlayerB_hand_L,PlayerB_hand_R,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
29,ANDREI CHESNOKOV,MAGNUS GUSTAFSSON,19930802,101230,188,27,31,988,101320,185,27,24,1138,3,86,0,1,56,24,13,19,8,4,6,2,1,49,29,18,5,7,2,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
30,SERGI BRUGUERA,ANDREI CHESNOKOV,19930802,101843,188,23,5,2531,101230,188,27,31,988,3,120,3,1,62,22,15,26,11,2,4,0,4,76,28,16,25,11,6,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
61,PETE SAMPRAS,CEDRIC PIOLINE,19931018,101948,185,22,1,3925,101611,188,24,10,1954,3,145,10,2,111,61,42,24,15,8,12,6,1,103,57,43,23,16,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
134,BORIS BECKER,ALEXANDER VOLKOV,19930621,101414,190,26,4,2600,101334,188,26,20,1372,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
147,HENRIK HOLM,MARK WOODFORDE,19930621,101510,183,25,19,1447,101185,188,28,22,1225,5,109,24,6,147,88,80,26,19,2,3,1,6,137,88,61,26,19,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
150,ARNAUD BOETSCH,IVAN LENDL,19930621,101589,183,24,24,1123,100656,188,33,7,2262,5,109,15,4,133,93,82,21,21,3,4,12,11,149,84,65,28,20,9,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
153,CEDRIC PIOLINE,ANDREI MEDVEDEV,19930621,101611,188,24,23,1219,102446,193,19,9,2020,5,109,13,4,160,112,92,23,22,1,2,14,16,174,91,69,37,21,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
157,STEFAN EDBERG,AMOS MANSDORF,19930621,101222,188,27,3,3055,101195,175,28,28,968,5,109,5,3,88,60,41,17,15,1,4,5,4,97,49,25,26,14,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
166,TODD MARTIN,GORAN IVANISEVIC,19930621,101774,198,23,30,956,101964,193,22,6,2431,5,109,7,3,80,49,38,17,13,4,5,6,3,83,49,34,16,12,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
168,WAYNE FERREIRA,HENRIK HOLM,19930621,101965,185,22,16,1537,101510,183,25,19,1447,5,109,8,4,106,71,61,17,15,5,5,7,13,125,48,42,32,16,8,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
170,WALLY MASUR,ARNAUD BOETSCH,19930621,100923,180,30,21,1300,101589,183,24,24,1123,5,109,8,5,198,129,98,35,27,11,13,12,11,203,124,93,35,26,6,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
