,importance
bestof_diff,0.20911749607055624
age_diff,0.1380258974738555
rank_diff,0.12438930751379398
minutes_diff,0.10657259484309092
rank_points_diff,0.0785936916379132
height_diff,0.04318035304434077
bpFaced_diff,0.03175863418833137
SvGms_diff,0.03018389542619849
svpt_diff,0.027608927489316863
ace_diff,0.025724935668890038
2ndWon_diff,0.02520945489719071
1stIn_diff,0.025083683224271423
1stWon_diff,0.024753756122114896
df_diff,0.02454864367457953
bpSaved_diff,0.024352507052537057
surface_Carpet,0.0038062566746195027
round_R32,0.003792173023043217
surface_Clay,0.003745914055387877
tourney_level_A,0.0033302465362359916
PlayerB_hand_R,0.003035248757616626
PlayerB_hand_L,0.0030304301049605678
round_R64,0.002898053617783658
draw_size_128.0,0.002882336456540681
draw_size_32.0,0.002716220123290911
round_R16,0.002490562196423684
tourney_level_G,0.002327090694698459
tourney_level_F,0.002080477458123836
surface_Hard,0.0020521404122801515
best_of,0.00204925363202757
round_SF,0.001989547997689481
round_F,0.001971924121603544
tourney_level_M,0.0019656859768115787
round_QF,0.0018541391017696577
round_RR,0.001836870133357768
draw_size_48.0,0.0017999015131135812
draw_size_56.0,0.0017804268936105934
surface_Grass,0.0017100514531309357
draw_size_8.0,0.0013228768827982795
draw_size_96.0,0.0012798881963538586
draw_size_64.0,0.0011996336535735521
draw_size_28.0,0.0005534526510301692
draw_size_16.0,0.00029672733427988507
draw_size_10.0,0.0002917436477612055
round_R128,0.0002601138827855121
draw_size_9.0,0.0002543894774327625
tourney_level_D,0.00014708729021116693
draw_size_4.0,0.00014535772267286297
round_BR,0.0
