,Year,Day,PlayerA_id,PlayerA_name,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_name,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerA_minutes,PlayerA_bestof,PlayerA_hand_L,PlayerA_hand_R,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerB_minutes,PlayerB_bestof,PlayerA_hand_L,PlayerA_hand_R,best_of,minutes,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
0,1993,242,101230,ANDREI CHESNOKOV,188,27,31,988,101320,MAGNUS GUSTAFSSON,185,27,24,1138,1.185185,1.180556,62.370370,35.185185,20.347222,12.537037,8.754630,5.296296,9.083333,86.833333,3.000000,0,1,1.388889,1.555556,62.888889,45.222222,26.388889,9.944444,9.888889,5.222222,8.333333,85.666667,3.000000,0,1,3,86,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1993,242,101843,SERGI BRUGUERA,188,23,5,2531,101230,ANDREI CHESNOKOV,188,27,31,988,2.583012,2.031414,75.726547,44.477066,30.621676,14.679918,11.172474,4.321586,7.623143,99.058824,3.470588,0,1,1.216049,1.127315,62.154321,35.438272,20.543981,12.098765,8.630401,5.373457,9.180556,86.833333,3.000000,0,1,3,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1993,318,101948,PETE SAMPRAS,185,22,1,3925,101611,CEDRIC PIOLINE,188,24,10,1954,9.299536,4.741199,74.602240,42.047581,33.463465,16.210565,11.632176,4.081893,5.625590,112.748751,3.424238,0,1,4.224314,3.029907,89.072412,48.706103,34.023830,19.278347,13.117342,5.306372,8.772102,121.225766,3.126880,0,1,3,145,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,1993,201,101414,BORIS BECKER,190,26,4,2600,101529,MICHAEL STICH,193,25,8,2105,8.728930,3.767973,63.854697,37.042690,30.283426,12.663946,9.970378,2.970029,3.886579,83.125000,3.250000,0,1,11.062914,5.182358,94.009862,52.465064,40.361488,21.368454,14.296229,3.690051,6.490194,109.250000,3.375000,0,1,5,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
4,1993,242,101990,RICHARD KRAJICEK,196,22,10,1888,101334,ALEXANDER VOLKOV,188,26,16,1410,9.978042,4.003740,80.197027,47.727918,39.596087,16.851317,13.139427,1.854417,3.210692,109.861662,3.423631,0,1,4.453524,2.891147,85.401042,45.006263,31.412327,21.258788,12.243506,4.747393,7.070506,96.990270,3.000000,0,1,3,66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,1993,242,101990,RICHARD KRAJICEK,196,22,10,1888,101948,PETE SAMPRAS,185,22,1,4197,10.040981,4.026234,80.065321,47.585306,39.571911,16.851805,13.132875,1.813264,3.146599,109.861662,3.423631,0,1,9.173082,4.874488,73.485413,41.449236,32.954269,15.875439,11.441749,4.152740,5.655448,107.192625,3.453178,0,1,3,112,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,1993,242,101990,RICHARD KRAJICEK,196,22,10,1888,102021,MICHAEL CHANG,175,21,9,1914,10.110627,4.048306,79.841122,47.386589,39.510077,16.833249,13.114095,1.768170,3.072364,109.861662,3.423631,0,1,3.780398,1.936611,69.631733,35.371022,23.206930,18.090837,10.611963,4.535906,7.283844,116.941508,3.000000,0,1,3,159,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,1993,249,101736,ANDRE AGASSI,180,23,28,1058,101774,TODD MARTIN,198,23,14,1526,1.754444,2.090153,63.373013,42.680848,30.265481,9.824526,10.521631,2.380509,4.891549,93.888756,3.000000,0,1,6.682500,2.395000,91.100000,57.315000,40.810000,16.702500,13.585000,6.330000,8.820000,120.800000,3.000000,0,1,3,123,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
8,1993,249,102446,ANDREI MEDVEDEV,193,19,12,1836,100923,WALLY MASUR,180,30,23,1160,3.914656,2.790844,74.142845,41.542889,28.885564,14.348806,11.885201,4.122529,8.125856,96.440322,3.355438,0,1,2.181327,2.023782,83.674796,52.732281,35.366430,16.235891,13.181906,4.637483,8.771715,100.125000,3.000000,0,1,3,76,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
9,1993,249,101736,ANDRE AGASSI,180,23,28,1058,101191,RICHEY RENEBERG,180,28,32,966,1.740245,2.081737,63.115121,42.718320,30.364977,9.599744,10.502750,2.290243,4.789777,93.888756,3.000000,0,1,6.000000,1.000000,60.000000,26.000000,14.000000,13.000000,8.000000,7.000000,12.000000,75.000000,3.000000,0,1,3,75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
