,PlayerA_name,PlayerB_name,Year,Day,PlayerA_id,PlayerB_id,Win%_diff,height_diff,age_diff,rank_diff,rank_points_diff,ace_diff,df_diff,svpt_diff,1stIn_diff,1stWon_diff,2ndWon_diff,SvGms_diff,bpSaved_diff,bpFaced_diff,minutes_diff,bestof_diff,hand_L_diff,hand_R_diff,best_of,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
0,MAGNUS GUSTAFSSON,ANDREI CHESNOKOV,1993,242,101320.000000,101230.000000,0.000000,-0.439495,-0.081246,-1.212189,0.167753,-0.167133,0.601817,0.600021,1.553965,1.620985,-0.139445,1.414834,0.936999,-0.338151,0.502459,0.000000,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,SERGI BRUGUERA,ANDREI CHESNOKOV,1993,242,101843.000000,101230.000000,0.000000,0.016246,-1.099242,-2.362580,0.475724,0.141762,0.184107,1.234785,1.228096,1.750877,0.967977,1.662633,-0.881680,-1.278198,0.429503,0.563780,0.000000,0.000000,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,PETE SAMPRAS,CEDRIC PIOLINE,1993,318,101948.000000,101611.000000,0.000000,-0.435905,-0.488296,-0.525436,0.428467,1.867308,0.430249,-0.803112,-0.886553,0.314084,-0.076856,-0.035399,-2.487361,-2.219579,-0.409877,0.134876,0.000000,0.000000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,ALEXANDER VOLKOV,BORIS BECKER,1993,201,101334.000000,101414.000000,0.000000,-0.317680,-0.088147,1.281565,-0.281536,-0.917589,-1.247106,2.356945,1.041596,0.381142,2.931452,2.104594,2.085416,2.082501,0.739456,0.142857,1.000000,-1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,HENRIK HOLM,MARK WOODFORDE,1993,201,101510.000000,101185.000000,0.000000,-0.737339,-0.811021,0.127882,-0.051447,0.822943,7.584195,0.673299,-1.177513,-0.476056,1.519040,1.258211,-4.444888,-2.412807,-0.411513,0.285714,-1.000000,1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
5,IVAN LENDL,ARNAUD BOETSCH,1993,201,100656.000000,101589.000000,0.000000,0.737339,2.616257,-2.291685,0.760370,-0.069098,-0.474394,-0.145505,-0.470147,-0.316840,-0.002950,-0.573162,1.533158,0.704993,0.913369,-0.500000,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,CEDRIC PIOLINE,ANDREI MEDVEDEV,1993,201,101611.000000,102446.000000,0.000000,-0.689169,1.612062,1.967051,-0.587560,-0.455068,0.153371,-0.060049,-0.258757,-0.540511,0.249404,-0.583570,1.553106,0.748929,0.813275,-0.311111,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
7,AMOS MANSDORF,STEFAN EDBERG,1993,201,101195.000000,101222.000000,0.000000,-1.850326,0.220777,2.254959,-0.676591,1.012478,-0.218203,2.569980,1.198106,0.813376,3.529530,2.105137,0.287993,0.421068,0.514949,-0.350000,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,TODD MARTIN,GORAN IVANISEVIC,1993,201,101774.000000,101964.000000,0.000000,0.818000,0.410872,3.050092,-0.917192,-0.752193,0.407616,4.566341,4.948401,4.079564,0.977488,5.282745,2.153946,2.201120,2.038810,-0.500000,-1.000000,1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
9,HENRIK HOLM,WAYNE FERREIRA,1993,201,101510.000000,101965.000000,0.000000,-0.269510,0.790319,-0.127123,0.145595,1.039862,5.671167,1.747524,0.929915,1.234010,0.803450,2.240869,-0.779388,0.062807,0.600332,0.063492,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,WALLY MASUR,ARNAUD BOETSCH,1993,201,100923.000000,101589.000000,0.000000,-0.484074,1.872681,0.128388,-0.046388,-0.262670,-0.221579,1.870086,1.911310,1.809307,1.297920,1.539884,1.876566,0.982665,0.524317,-0.277778,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
11,ANDRE AGASSI,RICHARD KRAJICEK,1993,201,101736.000000,101990.000000,0.000000,-2.318154,0.410872,0.558870,-0.322024,-2.097395,-1.529045,-3.546065,-2.483749,-3.347124,-3.092526,-3.616887,-0.080579,0.704861,-1.608634,-0.470588,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
12,MICHAEL STICH,PETR KORDA,1993,201,101529.000000,101434.000000,0.000000,0.487665,0.095048,0.233224,-0.235266,1.200248,-0.223065,0.972264,0.039309,0.641103,2.132797,1.395888,-1.091862,-1.007260,0.655280,0.158730,-1.000000,1.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
13,JIM COURIER,WAYNE FERREIRA,1993,201,101793.000000,101965.000000,0.000000,-0.012656,0.410872,-1.065817,0.471196,-0.581020,-1.156861,1.678866,2.091697,2.070440,0.056802,1.914462,0.685082,0.084777,1.137096,0.836601,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,CEDRIC PIOLINE,WALLY MASUR,1993,201,101611.000000,100923.000000,0.000000,1.144910,-1.710189,0.669529,-0.176682,-0.282645,1.128053,-0.087853,-1.150213,-1.543188,0.117302,-0.583570,1.343596,1.568438,0.609353,0.000000,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
15,PETE SAMPRAS,ANDRE AGASSI,1993,201,101948.000000,101736.000000,0.000000,0.692760,-0.186273,-0.849817,0.561141,2.055020,1.278455,2.468764,1.251802,1.939606,3.114653,2.232905,0.716130,0.001314,0.859707,0.583333,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
16,MICHAEL STICH,BORIS BECKER,1993,201,101529.000000,101414.000000,0.000000,0.387735,-0.390170,-0.015958,0.136761,0.323860,0.397115,2.779425,2.064951,1.976449,2.285686,2.873971,0.613862,0.700392,1.241128,0.380952,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,TODD MARTIN,JIM COURIER,1993,201,101774.000000,101793.000000,0.000000,1.846735,-0.108849,2.579593,-0.802752,0.718959,1.260551,1.329048,1.779101,1.114027,0.273453,1.763534,1.875589,2.115758,0.308171,-1.058824,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,STEFAN EDBERG,CEDRIC PIOLINE,1993,201,101222.000000,101611.000000,0.000000,0.016246,0.987315,-1.714325,0.533354,-0.067598,0.218203,0.043620,0.936698,1.032754,-1.407642,-0.090996,0.526766,0.170800,-0.670365,0.527778,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
19,PETE SAMPRAS,BORIS BECKER,1993,201,101948.000000,101414.000000,0.000000,-0.718071,-1.092342,0.123325,0.043548,0.526486,-0.471307,1.544588,1.093451,1.252148,1.442737,1.523578,0.375678,0.359849,0.447657,0.583333,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
20,JIM COURIER,STEFAN EDBERG,1993,201,101793.000000,101222.000000,0.000000,-0.435905,-1.099242,0.339832,-0.395073,0.619478,-0.443996,0.554848,-0.054208,0.338348,1.375241,0.994963,-1.155401,-1.432833,0.822181,0.308824,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
21,JIM COURIER,PETE SAMPRAS,1993,201,101793.000000,101948.000000,0.000000,0.012656,0.186273,-0.339579,0.404423,-1.204262,-0.729510,0.856595,1.006804,0.618853,0.316599,0.956752,0.602547,0.167409,0.956194,0.475490,0.000000,0.000000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22,RICHARD KRAJICEK,ALEXANDER VOLKOV,1993,242,101990.000000,101334.000000,0.000000,1.221982,-1.092342,-0.198777,0.002425,1.563046,1.267983,0.591345,1.578836,2.579868,-1.518420,0.941119,-2.577718,-2.308257,0.170627,0.303516,-1.000000,1.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,RICHARD KRAJICEK,PETE SAMPRAS,1993,242,101990.000000,101948.000000,0.000000,1.645231,0.115749,1.423126,-1.588017,-0.261522,0.444220,0.084322,0.322272,0.366132,-0.705793,0.197076,-0.984787,-0.401733,-0.071016,-0.175303,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,RICHARD KRAJICEK,MICHAEL CHANG,1993,242,101990.000000,102021.000000,0.000000,3.056061,0.417772,0.558111,-0.285190,1.767962,1.349676,2.079597,2.679328,3.770967,-0.214653,2.265652,-1.454935,-1.604141,-0.258525,0.559148,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,ANDRE AGASSI,TODD MARTIN,1993,249,101736.000000,101774.000000,0.000000,-2.600320,0.108849,1.968317,-0.363862,-1.127293,0.643254,-0.823499,-1.120757,-1.587497,-0.329444,-0.803233,-0.587998,0.674437,-1.411451,-0.216795,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
26,WALLY MASUR,ANDREI MEDVEDEV,1993,249,100923.000000,102446.000000,0.000000,-1.898495,3.185800,0.738905,-0.126290,0.178568,-0.839996,2.077010,2.779767,3.001386,1.273604,1.842863,1.619439,0.092037,0.578992,-0.004433,0.000000,0.000000,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
