Ranking,Name
1,RAFAEL NADAL
2,ALEXANDER ZVEREV
3,MARIN CILIC
4,GRIGOR DIMITROV
5,JUAN MARTIN DEL POTRO
6,KEVIN ANDERSON
7,DOMINIC THIEM
8,DAVID GOFFIN
9,JOHN ISNER
10,PABLO CARRENO BUSTA
11,DIEGO SEBASTIAN SCHWARTZMAN
12,SAM QUERREY
13,ROBERTO BAUTISTA AGUT
14,JACK SOCK
15,LUCAS POUILLE
16,KYLE EDMUND
17,TOMAS BERDYCH
18,FABIO FOGNINI
19,KEI NISHIKORI
20,NOVAK DJOKOVIC
21,NICK KYRGIOS
22,PHILIPP KOHLSCHREIBER
23,STANISLAS WAWRINKA
24,DENIS SHAPOVALOV
25,ADRIAN MANNARINO
26,DAMIR DZUMHUR
27,RICHARD GASQUET
28,FELICIANO LOPEZ
29,GILLES MULLER
30,FERNANDO VERDASCO
31,ALBERT RAMOS
32,GAEL MONFILS
