Rank_A,Rank_B,PlayerA_name,PlayerB_name,Win%_diff,height_diff,age_diff,rank_diff,rank_points_diff,ace_diff,df_diff,svpt_diff,1stIn_diff,1stWon_diff,2ndWon_diff,SvGms_diff,bpSaved_diff,bpFaced_diff,minutes_diff,bestof_diff,hand_L_diff,hand_R_diff,best_of,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF
1,2,RAFAEL NADAL,ALEXANDER ZVEREV,0.134215,-1.959320,3.246344,-0.108380,0.699605,-1.432895,-1.999841,-0.284415,0.464271,0.000611,-0.633966,-0.384897,0.622015,0.356612,1.009517,0.326293,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,RAFAEL NADAL,MARIN CILIC,0.293551,-1.959320,0.590244,-0.325140,1.149739,-2.213970,-1.427056,-1.350903,0.695608,0.035704,-2.361721,-1.041895,-0.287876,-0.587424,0.283315,-0.064448,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4,RAFAEL NADAL,GRIGOR DIMITROV,0.223893,-0.435904,1.556857,0.231705,0.219662,-1.367983,-2.002549,-0.947209,0.088154,-0.358046,-0.939087,-1.068727,-0.181864,-0.331206,0.389522,0.186710,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5,RAFAEL NADAL,JUAN MARTIN DEL POTRO,0.253305,-1.846735,0.650789,0.015451,0.407981,-1.458274,-0.688038,-0.720065,0.182840,-0.256568,-0.985680,-0.321880,0.371057,0.214256,0.040156,0.039438,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6,RAFAEL NADAL,KEVIN ANDERSON,0.244572,-2.552150,0.046743,-0.200802,1.089925,-3.179110,-1.274304,-0.923610,-0.124140,-0.764120,-0.720069,-0.649980,0.247200,0.096657,0.409228,0.049085,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,7,RAFAEL NADAL,DOMINIC THIEM,0.399835,-0.012655,2.160903,-0.200802,0.975792,-0.955384,-1.199136,-0.387021,0.951941,0.547996,-1.320609,0.027038,0.423208,0.001322,0.685656,0.167434,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,8,RAFAEL NADAL,DAVID GOFFIN,0.134215,3.091172,1.556857,-0.417056,1.326751,-0.643031,-1.285740,-0.324264,1.183027,0.878075,-1.226131,-0.340240,-0.684702,-0.854461,0.802619,0.196262,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,9,RAFAEL NADAL,JOHN ISNER,0.153756,-2.975399,-0.255280,-0.308929,1.215471,-4.367874,-0.500245,-1.559306,-1.308954,-2.013579,-0.636029,-1.911578,0.656602,0.906643,0.397081,0.116643,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,10,RAFAEL NADAL,PABLO CARRENO BUSTA,0.293551,-0.435904,1.556857,-0.525183,1.697683,-0.117121,0.238800,-1.359149,-1.082414,-0.511171,-0.626667,0.036988,0.396054,-0.439533,0.327580,0.067204,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,11,RAFAEL NADAL,DIEGO SEBASTIAN SCHWARTZMAN,0.346704,2.260754,1.770733,-1.517320,2.120510,-0.364454,-0.110504,-0.411455,1.469299,1.375441,-2.506633,-0.627225,-0.269502,-0.560050,0.414598,0.248562,1.000000,-1.000000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
