,importance
Vs Top 100 %_PlayerA,0.03499507522950837
Matches Won %_PlayerA,0.0341317146447195
Matches Won %_PlayerB,0.03219766300725243
Games Dominance_PlayerA,0.03211401277242996
Sets Won %_PlayerA,0.029762872913536735
Vs Top 100 %_PlayerB,0.027303617103141366
Gms. to Matches Ov.-Perf._PlayerB,0.026777370256389342
Gms. to Matches Ov.-Perf._PlayerA,0.02466185371601156
Outdoor %_PlayerA,0.024637010166347076
Total Points Won %_PlayerA,0.024058591460270232
ATP 250 %_PlayerB,0.023926137420245172
Pts. to Matches Over-Perf._PlayerA,0.023639399881063113
Sets Won %_PlayerB,0.023499578578314997
Pts. to Matches Over-Perf._PlayerB,0.023126140837604243
Vs Top 50 %_PlayerA,0.02250219150004269
Outdoor %_PlayerB,0.02245551252173685
Games Dominance_PlayerB,0.021911704198852047
Gms. to Sets Over-Perf._PlayerB,0.021707375280250612
Gms. to Sets Over-Perf._PlayerA,0.020749455315167427
Grand Slam %_PlayerB,0.020225751531392257
Points Dominance_PlayerA,0.01928692118647381
Best Rank_PlayerB,0.01904696020587898
ATP 250 %_PlayerA,0.018984410318842442
Games Won %_PlayerA,0.018343646530096153
Vs Top 50 %_PlayerB,0.01770637213664299
Games Won %_PlayerB,0.0175674117383731
PlayerB ranking,0.017255466710777108
Pts. to Sets Over-Perf._PlayerA,0.017116178452025614
Best Rank_PlayerA,0.015252948469572116
Pts. to Sets Over-Perf._PlayerB,0.01514335580642293
Points Dominance_PlayerB,0.014796325640363227
Grand Slam %_PlayerA,0.01470904334368113
PlayerA ranking,0.013907402510376947
Total Points Won %_PlayerB,0.012875738300892713
Masters %_PlayerA,0.011280348147976925
Sets to Matches Ov.-Perf._PlayerB,0.008667153273037674
After Losing 1st Set_PlayerB,0.00841333580843018
Vs Top 20 %_PlayerA,0.008076313899519356
Matches Won_PlayerB,0.007588870958574533
ATP 500 %_PlayerA,0.007473529047464435
Sets Won_PlayerB,0.0070161322034153
Masters %_PlayerB,0.006544206108596463
Sets Won_PlayerA,0.00635705708077709
Tie Breaks Played_PlayerB,0.006087187355642331
Pts. to Gms. Over-Perf._PlayerA,0.006025742176614716
Sets to Matches Ov.-Perf._PlayerA,0.005460578979806324
Pts. to Gms. Over-Perf._PlayerB,0.005267042362328834
ATP 500 %_PlayerB,0.005229371184947524
Total Games Won_PlayerB,0.004873064645842813
After Losing 1st Set_PlayerA,0.004812451266399606
Total Points Played_PlayerB,0.004531499711047234
Total Points Won_PlayerB,0.004493651649378412
Round of 32 %_PlayerB,0.004333211546272174
Vs Top 20 %_PlayerB,0.004198259981007891
Double Faults Against_PlayerB,0.004174496134400493
Tie Breaks Won_PlayerB,0.003852747597349753
Break Points Ratio_PlayerA,0.0038372763221819466
After Winning 1st Set_PlayerB,0.0037902444292556093
Matches Won_PlayerA,0.003640758393863328
Total Games Won_PlayerA,0.0036390304786313157
Round of 32 %_PlayerA,0.0034778658012736066
Tie Breaks Won_PlayerA,0.0034422372614883305
Total Games Played_PlayerB,0.003332224789328028
Aces_PlayerB,0.0032510085399999763
Vs Top 10 %_PlayerB,0.003243175028249528
Final %_PlayerB,0.002923278080055696
Opponent Rank_PlayerA,0.0029175874851031344
Clay %_PlayerA,0.0028092786751670895
Tie Breaks Played_PlayerA,0.002766371482869424
Upsets_PlayerB,0.002759144202987163
Final %_PlayerA,0.0027165720084179434
Semi-Final %_PlayerA,0.002665050262249544
Weeks at No. 1_PlayerB,0.0026149625629586157
Deciding Set %_PlayerB,0.002486931377978704
Aces_PlayerA,0.0024493124543297114
Total Points Won_PlayerA,0.002344876501954265
Weeks at No. 1_PlayerA,0.002227864140250645
Break Points Ratio_PlayerB,0.002093778485627078
Double Faults_PlayerB,0.0020646338688989512
Semi-Final %_PlayerB,0.002010544707815499
Round of 128 %_PlayerB,0.001967787103423902
Clay %_PlayerB,0.0019234894956451614
Upsets scored_PlayerB,0.0018755991124277897
Sets Played_PlayerB,0.0017089921379821078
Matches Played_PlayerA,0.0016044937480799674
Matches Played_PlayerB,0.0015724154503009452
Total Points Played_PlayerA,0.0015566199133286657
Opponent Rank_PlayerB,0.0015368200177446392
Total Games Played_PlayerA,0.0015238270721902205
Upsets_PlayerA,0.0014803748078824402
Ace Against_PlayerB,0.0013991717736243907
Upsets %_PlayerB,0.0013743214651699654
Round of 128 %_PlayerA,0.0013393584370469658
Double Faults Against_PlayerA,0.001217554483024966
Quarter-Final %_PlayerA,0.0011776925897324477
Upsets %_PlayerA,0.0011653933826499473
Vs Top 10 %_PlayerA,0.0011638986094928353
After Winning 1st Set_PlayerA,0.001142115667453976
Svc. In-play Pts. Won %_PlayerB,0.0010980639300537218
Upsets against_PlayerA,0.0010903094954686032
