,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_Win%,PlayerA_bestof,PlayerA_minutes,PlayerA_svpt%,PlayerA_1st_serve%,PlayerA_1st_serve_won%,PlayerA_2nd_serve_won%,PlayerA_ace%,PlayerA_df%,PlayerA_bp_faced%,PlayerA_bp_saved%,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_Win%,PlayerB_bestof,PlayerB_minutes,PlayerB_svpt%,PlayerB_1st_serve%,PlayerB_1st_serve_won%,PlayerB_2nd_serve_won%,PlayerB_ace%,PlayerB_df%,PlayerB_bp_faced%,PlayerB_bp_saved%,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
4,Richard Krajicek,Jacco Eltingh,1993,201,128.0000000000,64.0000000000,101990.0000000000,101797.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,196.0000000000,21.5414100000,12.0000000000,1855.0000000000,0.8333333333,5.0000000000,171.3333333333,0.5220818333,0.6921366667,0.7961548333,0.4283876667,0.0664003333,0.0368328333,0.0446091667,0.5190476667,188.0000000000,22.8117730000,81.0000000000,511.0000000000,0.5000000000,5.0000000000,89.5000000000,0.4752775000,0.6300750000,0.7451380000,0.5033335000,0.0541720000,0.0359670000,0.0821315000,0.8333335000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
100,Alberto Berasategui,Wayne Ferreira,1994,173,128.0000000000,128.0000000000,102238.0000000000,101965.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,173.0000000000,20.9007530000,23.0000000000,1253.0000000000,0.5000000000,5.0000000000,93.0000000000,0.5243045000,0.7937990000,0.6793365000,0.4618420000,0.0103185000,0.0161325000,0.0762680000,0.5714285000,185.0000000000,22.6858310000,21.0000000000,1384.0000000000,0.5000000000,5.0000000000,143.0000000000,0.5004110000,0.5767130000,0.6602415000,0.4762540000,0.0226525000,0.0181880000,0.0761145000,0.5000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
101,Bernd Karbacher,Tomas Carbonell,1994,173,128.0000000000,128.0000000000,101463.0000000000,101507.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,185.0000000000,26.1355250000,88.0000000000,486.0000000000,0.4445954007,5.0000000000,78.0258135242,0.4845062440,0.5353258161,0.5673013233,0.3679081301,0.0248724451,0.0388840342,0.1206429211,0.4159098492,178.0000000000,25.7905540000,67.0000000000,616.0000000000,0.3314942591,5.0000000000,91.0445986716,0.5211935311,0.6515142352,0.6428576530,0.4824584652,0.0150931000,0.0473019997,0.1054578224,0.7121982099,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
108,Jamie Morgan,Andrei Chesnokov,1994,47,128.0000000000,128.0000000000,101920.0000000000,101230.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,185.0000000000,22.6119100000,74.0000000000,597.0000000000,0.5041265336,5.0000000000,81.0419547677,0.5137029116,0.5268521047,0.7455482781,0.4362598776,0.0361048681,0.0527937178,0.0767870934,0.6451039187,188.0000000000,27.9561940000,25.0000000000,1122.0000000000,0.3314942591,5.0000000000,105.8901164321,0.4913835070,0.6212709550,0.6662086896,0.5053655190,0.0456396344,0.0324110642,0.0912914851,0.6496673114,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
114,Richard Fromberg,Alex Corretja,1994,200,128.0000000000,64.0000000000,101735.0000000000,102374.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,196.0000000000,24.1451050000,69.0000000000,617.0000000000,0.6666666667,5.0000000000,117.3333333333,0.5332706667,0.6050746667,0.8063730000,0.5351613333,0.1016876667,0.0216876667,0.0356536667,0.6666666667,180.0000000000,20.1916500000,43.0000000000,791.0000000000,0.5594767405,5.0000000000,93.0784889278,0.5241159397,0.5941740328,0.7291031296,0.4048171822,0.0470128400,0.0217440362,0.0802623298,0.6001190428,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
118,Richey Reneberg,Boris Becker,1994,269,128.0000000000,128.0000000000,101191.0000000000,101414.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,28.8980140000,48.0000000000,787.0000000000,0.5698457904,5.0000000000,106.6984579044,0.4983839780,0.6196825283,0.6302252284,0.4403182542,0.0292889759,0.0267611074,0.0981993482,0.4842705768,190.0000000000,26.7679670000,7.0000000000,2442.0000000000,0.5041265336,5.0000000000,94.4470444943,0.5053791845,0.6522451879,0.7787028009,0.4305967909,0.0561206628,0.0332467852,0.0388443025,0.6280949002,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
119,Marc Kevin Goellner,Tomas Carbonell,1994,269,128.0000000000,64.0000000000,101806.0000000000,101507.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,196.0000000000,23.9342920000,75.0000000000,584.0000000000,0.7500000000,5.0000000000,184.0000000000,0.5065647500,0.6612695000,0.7610405000,0.4279742500,0.0819977500,0.0322195000,0.0590370000,0.5167582500,178.0000000000,26.0588650000,55.0000000000,732.0000000000,0.2303409115,5.0000000000,76.3840974600,0.5120958181,0.6732947024,0.6526656841,0.4546432646,0.0158409764,0.0364370572,0.1155569088,0.7071492401,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
122,Richey Reneberg,Richard Fromberg,1994,269,128.0000000000,32.0000000000,101191.0000000000,101735.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,28.8980140000,48.0000000000,787.0000000000,0.5698457904,5.0000000000,106.6984579044,0.4983839780,0.6196825283,0.6302252284,0.4403182542,0.0292889759,0.0267611074,0.0981993482,0.4842705768,196.0000000000,24.3367560000,49.0000000000,773.0000000000,0.7687726373,5.0000000000,104.0595571507,0.5358934627,0.6177799168,0.8003366992,0.5654821097,0.1065762963,0.0240537683,0.0405762976,0.6666667688,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
123,Todd Martin,Richey Reneberg,1994,269,128.0000000000,16.0000000000,101774.0000000000,101191.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,198.0000000000,24.1423680000,9.0000000000,2217.0000000000,0.5698457904,5.0000000000,93.4344956982,0.4839979270,0.6399231752,0.7262565649,0.4860486170,0.0487381288,0.0248959927,0.0735711630,0.6534082096,180.0000000000,28.8980140000,48.0000000000,787.0000000000,0.5698457904,5.0000000000,106.6984579044,0.4983839780,0.6196825283,0.6302252284,0.4403182542,0.0292889759,0.0267611074,0.0981993482,0.4842705768,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
124,Patrick Mcenroe,Richey Reneberg,1995,206,128.0000000000,128.0000000000,101265.0000000000,101191.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,183.0000000000,28.9856260000,61.0000000000,686.0000000000,0.5973048043,5.0000000000,138.3928700514,0.4850560672,0.6800671563,0.6761916732,0.4882182435,0.0251036390,0.0201582766,0.1029549590,0.7379240899,180.0000000000,29.7221090000,42.0000000000,864.0000000000,0.4987600597,5.0000000000,76.1634932008,0.4684140016,0.5599097793,0.7146681358,0.4927629929,0.0453356652,0.0232494945,0.0899423955,0.6156084757,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
