,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_Win%,PlayerA_bestof,PlayerA_minutes,PlayerA_svpt%,PlayerA_1st_serve%,PlayerA_1st_serve_won%,PlayerA_2nd_serve_won%,PlayerA_ace%,PlayerA_df%,PlayerA_bp_faced%,PlayerA_bp_saved%,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_Win%,PlayerB_bestof,PlayerB_minutes,PlayerB_svpt%,PlayerB_1st_serve%,PlayerB_1st_serve_won%,PlayerB_2nd_serve_won%,PlayerB_ace%,PlayerB_df%,PlayerB_bp_faced%,PlayerB_bp_saved%,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
0,Tommy Robredo,Lleyton Hewitt,2003,176,128.0000000000,32.0000000000,103990.0000000000,103720.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,21.0677620000,31.0000000000,1055.0000000000,0.5000000000,3.0000000000,104.3333333333,0.5015930000,0.6912225000,0.6075855000,0.4645550000,0.0185768333,0.0237425000,0.0883973333,0.4119048333,180.0000000000,22.2477740000,1.0000000000,4210.0000000000,0.7142857143,3.2857142857,106.7142857143,0.5006851429,0.5164391429,0.7317007143,0.5833758571,0.0775575714,0.0270955714,0.0658700000,0.7452381429,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
1,Gustavo Kuerten,Gaston Gaudio,2003,176,128.0000000000,32.0000000000,102856.0000000000,103292.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,190.0000000000,26.7049960000,16.0000000000,1540.0000000000,0.5000000000,3.0000000000,93.2500000000,0.5140257500,0.5824026250,0.6955213750,0.4684588750,0.0681192500,0.0267691250,0.0988042500,0.4922010000,175.0000000000,24.4599590000,22.0000000000,1230.0000000000,0.4000000000,3.0000000000,135.6000000000,0.4785122000,0.6385114000,0.6697722000,0.4358588000,0.0176922000,0.0154816000,0.0991888000,0.4534290000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2,Juan Carlos Ferrero,Tim Henman,2003,176,128.0000000000,32.0000000000,103507.0000000000,102450.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,183.0000000000,23.2826820000,3.0000000000,3460.0000000000,0.7272727273,3.0000000000,87.6363636364,0.4947702727,0.6243557273,0.6994699091,0.4796366364,0.0487805455,0.0325495455,0.1040000909,0.6938672727,185.0000000000,28.7173180000,28.0000000000,1130.0000000000,0.5000000000,3.0000000000,101.5000000000,0.5509245000,0.5588060000,0.6093750000,0.5021165000,0.0195425000,0.0398770000,0.1154230000,0.6727275000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
3,Fernando Gonzalez,Sjeng Schalken,2003,176,128.0000000000,32.0000000000,103602.0000000000,102854.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,183.0000000000,22.8227230000,20.0000000000,1276.0000000000,0.6000000000,3.0000000000,102.8000000000,0.5036798000,0.5978910000,0.7124520000,0.4168538000,0.0754636000,0.0399962000,0.1033450000,0.6234188000,193.0000000000,26.7104720000,13.0000000000,1755.0000000000,0.1666666667,3.0000000000,92.1666666667,0.4826155000,0.5905676667,0.6776335000,0.4421066667,0.0348605000,0.0279256667,0.1056735000,0.4222223333,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
4,Rainer Schuettler,Wayne Ferreira,2003,176,128.0000000000,32.0000000000,102783.0000000000,101965.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,27.0828210000,11.0000000000,1810.0000000000,0.5000000000,3.0000000000,103.8333333333,0.4874441667,0.6209003333,0.7001383333,0.5039963333,0.0174536667,0.0370575000,0.0941493333,0.5240740000,185.0000000000,31.6933610000,24.0000000000,1185.0000000000,0.2000000000,3.0000000000,83.8000000000,0.5381258000,0.5130352000,0.6659088000,0.4535642000,0.0696940000,0.0308590000,0.1170838000,0.6033768000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
6,Tommy Robredo,Gustavo Kuerten,2003,176,128.0000000000,16.0000000000,103990.0000000000,102856.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,21.0677620000,31.0000000000,1055.0000000000,0.5000000000,3.0000000000,104.3333333333,0.5015930000,0.6912225000,0.6075855000,0.4645550000,0.0185768333,0.0237425000,0.0883973333,0.4119048333,190.0000000000,26.7049960000,16.0000000000,1540.0000000000,0.5000000000,3.0000000000,93.2500000000,0.5140257500,0.5824026250,0.6955213750,0.4684588750,0.0681192500,0.0267691250,0.0988042500,0.4922010000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
8,Carlos Moya,Jiri Novak,2003,176,128.0000000000,16.0000000000,102845.0000000000,102562.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,190.0000000000,26.7433260000,4.0000000000,2985.0000000000,0.6666666667,3.0000000000,88.4166666667,0.4793143333,0.5389640000,0.7024055833,0.5590358333,0.0443044167,0.0264350833,0.0898858333,0.6710443333,190.0000000000,28.1779590000,14.0000000000,1731.0000000000,0.1666666667,3.3333333333,104.8333333333,0.5071085000,0.6748960000,0.6149386667,0.4249686667,0.0321495000,0.0285558333,0.1093291667,0.5462965000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
9,Albert Costa,Tommy Robredo,2003,176,128.0000000000,8.0000000000,102610.0000000000,103990.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,180.0000000000,27.9178640000,9.0000000000,1920.0000000000,0.5000000000,3.0000000000,130.7500000000,0.5018987500,0.5925382500,0.6715232500,0.5418847500,0.0430375000,0.0248302500,0.1021420000,0.5927200000,180.0000000000,21.0677620000,31.0000000000,1055.0000000000,0.5000000000,3.0000000000,104.3333333333,0.5015930000,0.6912225000,0.6075855000,0.4645550000,0.0185768333,0.0237425000,0.0883973333,0.4119048333,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
10,Juan Carlos Ferrero,Fernando Gonzalez,2003,176,128.0000000000,8.0000000000,103507.0000000000,103602.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,183.0000000000,23.2826820000,3.0000000000,3460.0000000000,0.7272727273,3.0000000000,87.6363636364,0.4947702727,0.6243557273,0.6994699091,0.4796366364,0.0487805455,0.0325495455,0.1040000909,0.6938672727,183.0000000000,22.8227230000,20.0000000000,1276.0000000000,0.6000000000,3.0000000000,102.8000000000,0.5036798000,0.5978910000,0.7124520000,0.4168538000,0.0754636000,0.0399962000,0.1033450000,0.6234188000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
12,Juan Carlos Ferrero,Albert Costa,2003,176,128.0000000000,4.0000000000,103507.0000000000,102610.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,183.0000000000,23.2826820000,3.0000000000,3460.0000000000,0.7272727273,3.0000000000,87.6363636364,0.4947702727,0.6243557273,0.6994699091,0.4796366364,0.0487805455,0.0325495455,0.1040000909,0.6938672727,180.0000000000,27.9178640000,9.0000000000,1920.0000000000,0.5000000000,3.0000000000,130.7500000000,0.5018987500,0.5925382500,0.6715232500,0.5418847500,0.0430375000,0.0248302500,0.1021420000,0.5927200000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
