,importance
Win%_diff,0.21001437326531308
rank_points_diff,0.1740750003868095
rank_diff,0.13642032026518844
2nd_serve_won%_diff,0.09052335319161287
bp_faced%_diff,0.06697097360485892
age_diff,0.052770040918579494
1st_serve_won%_diff,0.04368921450602182
bestof_diff,0.03946560960586583
svpt%_diff,0.03213051240842788
df%_diff,0.032054617309751295
ace%_diff,0.031177046524793355
bp_saved%_diff,0.03060824061914085
1st_serve%_diff,0.029006562854331334
minutes_diff,0.02852533185759664
Same_handedness,0.002568802681708344
