tourney_year,tourney_month,tourney_day,tourney_surface,tourney_singles_draw,winner_name,losers_name,match_duration,winner_aces,winner_double_faults,winner_service_points_total,winner_first_serves_in,winner_first_serve_points_won,winner_second_serve_points_won,winner_service_games_played,winner_break_points_saved,winner_break_points_serve_total,loser_aces,loser_double_faults,loser_service_points_total,loser_first_serves_in,loser_first_serve_points_won,loser_second_serve_points_won,loser_service_games_played,loser_break_points_saved,loser_break_points_serve_total
2018,12,31,Hard,28,Dominic Thiem,Stefanos Tsitsipas,101,7,4,70,45,33,13,11,6,7,4,3,76,49,32,11,11,2,5
2018,12,31,Hard,28,Andrey Rublev,Guido Pella,146,2,11,117,76,55,14,15,7,11,3,0,101,74,44,12,15,6,11
2018,12,31,Hard,28,Guido Pella,Mirza Basic,66,7,1,54,44,34,6,9,2,2,3,1,48,34,23,6,8,4,7
2018,12,31,Hard,28,Andrey Rublev,Borna Coric,91,2,8,67,37,32,13,11,1,2,6,2,62,43,28,7,10,1,4
2018,12,31,Hard,28,Gael Monfils,Peter Gojowczyk,87,8,4,70,51,37,8,11,1,3,0,0,68,35,21,19,10,3,6
2018,12,31,Hard,28,Dominic Thiem,Aljaz Bedene,107,9,3,66,42,33,12,11,2,3,1,1,96,57,37,17,11,12,15
2018,12,31,Hard,28,Stefanos Tsitsipas,Richard Gasquet,71,4,2,59,36,31,11,10,0,0,2,0,56,42,27,9,9,1,3
2018,12,31,Hard,28,Gael Monfils,Andrey Rublev,61,9,4,60,39,31,11,9,2,2,7,3,41,29,19,6,8,1,4
2018,12,31,Hard,28,Andrey Rublev,Fernando Verdasco,117,3,9,101,62,42,17,15,7,11,12,5,75,41,30,18,14,3,7
2018,12,31,Hard,28,Mirza Basic,Feliciano Lopez,85,8,1,71,46,33,17,11,3,3,13,4,71,38,31,16,11,4,5
2018,12,31,Hard,28,Borna Coric,Nikoloz Basilashvili,74,3,1,55,39,28,8,8,2,3,3,3,59,35,15,12,8,6,11
2018,12,31,Hard,28,Peter Gojowczyk,Matteo Berrettini,52,2,0,38,22,19,13,8,0,0,3,2,50,30,17,8,8,2,6
2018,12,31,Hard,28,Gael Monfils,Jan-Lennard Struff,81,3,5,68,40,32,16,13,1,3,5,3,65,38,27,18,12,5,7
2018,12,31,Hard,28,Guido Pella,Stefano Travaglia,96,2,1,60,43,31,11,10,4,6,9,2,79,42,30,13,11,4,8
2018,12,31,Hard,28,Dominic Thiem,Evgeny Donskoy,97,13,3,64,38,35,11,10,3,4,2,1,77,53,34,11,11,4,7
2018,12,31,Hard,28,Borna Coric,Pablo Carreno Busta,162,13,4,115,80,56,15,16,7,11,3,2,110,73,45,19,16,6,11
2018,12,31,Hard,28,Richard Gasquet,Victor Estrella Burgos,51,7,0,37,22,19,10,7,0,0,1,0,38,27,9,5,7,3,8
2018,12,31,Hard,28,Guido Pella,Albert Ramos-Vinolas,137,6,2,97,62,43,22,16,8,11,10,2,86,57,43,16,16,4,7
2018,12,31,Hard,28,Peter Gojowczyk,Filip Krajinovic,66,6,2,53,26,22,12,9,1,3,1,4,49,33,19,3,8,5,10
2018,12,31,Hard,28,Jan-Lennard Struff,Tomas Berdych,129,8,6,95,53,43,17,14,2,5,9,2,96,58,49,16,15,5,7
2018,12,31,Hard,28,Mirza Basic,Andreas Haider-Maurer,68,8,0,49,31,25,14,9,3,3,9,4,70,43,27,14,10,4,7
2018,12,31,Hard,28,Feliciano Lopez,Guillermo Garcia-Lopez,151,23,4,113,67,51,26,17,12,13,9,2,111,66,46,29,17,3,4
2018,12,31,Hard,28,Fernando Verdasco,Dudi Sela,111,6,6,90,57,35,13,13,9,15,1,4,82,49,23,12,13,7,16
2018,12,31,Hard,28,Nikoloz Basilashvili,Thomas Fabbiano,77,0,1,61,45,28,10,10,4,6,1,1,55,36,18,11,9,5,9
2018,12,31,Hard,28,Aljaz Bedene,Malek Jaziri,84,9,0,50,29,25,9,9,2,4,2,5,74,47,27,8,10,5,11
2018,12,31,Hard,28,Matteo Berrettini,Viktor Troicki,140,12,2,96,55,45,19,16,2,5,6,3,122,94,64,12,16,10,13
2018,12,31,Hard,28,Gael Monfils,Paolo Lorenzi,111,7,6,88,57,44,12,14,5,8,3,3,78,50,35,12,14,3,7
2018,12,31,Hard,28,Andrey Rublev,Cedrik-Marcel Stebe,32,2,5,25,13,13,3,3,1,1,0,1,23,9,5,5,4,0,3
2018,12,31,Hard,28,Stefano Travaglia,Jabor Al-Mutawa,54,8,2,34,20,19,9,7,0,0,0,2,50,40,19,3,8,4,9
2018,12,31,Hard,28,Mirza Basic,Andreas Seppi,159,16,1,128,83,61,29,18,5,7,19,3,128,77,59,25,18,4,6
2018,12,31,Hard,28,Matteo Berrettini,Maximilian Marterer,97,9,0,73,50,39,14,12,3,4,5,2,83,59,38,14,12,2,4
2018,12,31,Hard,28,Stefanos Tsitsipas,Elias Ymer,105,0,2,72,39,33,15,12,3,6,1,2,89,57,33,18,12,7,10
2018,12,31,Hard,28,Stefano Travaglia,Aldin Setkic,71,21,4,56,29,27,13,10,4,5,1,1,62,43,27,8,10,5,9
2018,12,31,Hard,28,Andreas Seppi,Calvin Hemery,66,3,0,52,23,18,16,9,4,6,3,8,49,21,15,11,10,2,7
2018,12,31,Hard,28,Stefanos Tsitsipas,Mubarak Shannan Zayid,76,3,0,50,36,24,9,9,1,3,4,2,73,39,21,16,10,7,12
2018,12,31,Hard,28,Maximilian Marterer,Mousa Shanan Zayed,42,7,0,34,24,22,6,7,0,0,0,1,37,23,13,2,7,1,6
2018,12,31,Hard,28,Aldin Setkic,Dustin Brown,61,5,3,58,40,31,10,9,4,4,5,5,52,29,20,8,8,3,6
2018,12,31,Hard,28,Stefanos Tsitsipas,Florian Mayer,120,10,0,84,52,43,14,16,2,5,0,1,106,63,45,20,16,7,11
2018,12,31,Hard,28,Stefano Travaglia,Vaclav Safranek,101,21,3,71,42,35,17,12,3,5,6,7,102,57,37,24,12,5,7
2018,12,31,Hard,28,Elias Ymer,Pedro Sousa,27,0,0,16,11,9,4,3,1,1,0,0,16,13,7,3,3,1,2
2018,12,31,Hard,28,Matteo Berrettini,Liam Broady,92,10,1,64,37,31,16,11,1,1,2,0,76,49,36,10,11,2,4
2018,12,31,Hard,28,Mirza Basic,Alexey Vatutin,83,8,2,80,49,34,18,10,9,9,0,1,45,29,20,11,9,4,6
2018,1,1,Hard,32,Gilles Simon,Marin Cilic,112,0,3,86,56,34,14,12,7,10,9,1,66,37,27,13,12,1,5
2018,1,1,Hard,32,Marin Cilic,Pierre-Hugues Herbert,64,7,1,44,24,23,13,9,0,0,2,5,46,25,17,8,8,1,4
2018,1,1,Hard,32,Kevin Anderson,Benoit Paire,140,26,3,107,74,55,22,16,4,5,6,4,101,52,40,28,15,6,9
2018,1,1,Hard,32,Gilles Simon,Kevin Anderson,97,1,1,65,53,39,9,10,4,5,15,2,67,45,28,11,10,5,8
2018,1,1,Hard,32,Benoit Paire,Robin Haase,118,9,7,105,43,31,28,15,5,10,7,4,91,53,33,19,14,5,10
2018,1,1,Hard,32,Gilles Simon,Ricardo Ojeda Lara,74,3,3,45,21,18,15,9,0,1,1,2,60,34,18,11,8,5,9
2018,1,1,Hard,32,Marin Cilic,Ramkumar Ramanathan,73,8,1,50,26,23,15,10,0,1,5,1,56,35,22,9,9,1,4
2018,1,1,Hard,32,Kevin Anderson,Mikhail Kukushkin,150,24,7,97,65,55,13,15,5,6,4,4,115,70,45,23,15,8,12
2018,1,1,Hard,32,Gilles Simon,Roberto Bautista Agut,123,4,2,86,49,34,19,11,3,5,0,4,75,43,30,15,10,4,7
