PlayerA_name,PlayerB_name,Year,Day,best_of,draw_size,round,minutes,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerA Win,surface_Carpet,surface_Clay,surface_Grass,surface_Hard
Kei Nishikori,Jeremy Chardy,2019,31,0,32,0,66,0,0,0,0,1,1,0,28.717316999999998,0,0,10,3,46,27,15,6,8,1,5,0,31.537303,0,0,2,2,47,33,26,9,8,2,2,1,0,0,0,1
Jo Wilfried Tsonga,Jeremy Chardy,2019,4,0,28,0,164,0,0,0,0,1,1,0,33.418207,0,0,18,3,103,61,54,27,17,3,3,0,31.537303,0,0,8,9,127,75,58,30,17,12,13,1,0,1,0,0
Andreas Seppi,Jeremy Chardy,2019,31,0,28,0,111,0,0,0,0,1,1,0,34.513346999999996,0,0,12,6,79,43,28,19,15,1,5,0,31.537303,0,0,9,5,95,48,40,19,15,10,14,1,0,0,0,1
Alexander Zverev,Jeremy Chardy,2019,7,0,28,0,226,0,0,0,0,1,1,0,21.352498,0,0,29,13,167,116,94,25,27,10,13,0,31.537303,0,0,14,3,173,118,86,29,26,12,17,1,0,0,0,1
Kei Nishikori,Grigor Dimitrov,2019,31,0,32,0,100,0,0,0,0,1,1,0,28.717316999999998,0,0,8,5,80,53,37,13,12,6,9,0,27.282683000000002,0,0,5,2,59,47,37,9,12,0,1,1,0,0,0,1
Kei Nishikori,Denis Kudla,2019,31,0,32,0,79,0,0,0,0,1,1,0,28.717316999999998,0,0,5,3,60,36,26,8,10,4,7,0,26.02601,0,0,7,2,56,32,27,15,10,0,0,1,0,0,0,1
Diego Sebastian Schwartzman,Denis Kudla,2019,7,0,28,0,230,0,0,0,0,1,1,0,26.028747,0,0,11,5,176,119,82,24,26,7,14,0,26.02601,0,0,17,6,177,108,73,29,27,10,19,1,0,0,0,1
Guillermo Garcia Lopez,Denis Kudla,2019,31,0,28,0,95,0,0,0,0,1,1,0,35.211498999999996,0,0,6,6,61,29,19,13,11,3,8,0,26.02601,0,0,3,1,77,45,29,16,11,6,9,1,0,0,0,1
Pierre Hugues Herbert,Denis Kudla,2019,4,0,28,0,56,0,0,0,0,1,1,0,27.444215999999997,0,0,7,1,39,22,18,14,8,0,0,0,26.02601,0,0,2,2,49,27,16,8,7,3,7,1,0,1,0,0
Ricardas Berankis,Denis Kudla,2019,18,0,32,0,74,0,0,0,0,1,1,0,28.106776,0,0,0,2,61,39,25,5,8,5,9,0,26.02601,0,0,3,0,51,30,21,14,9,0,1,1,0,0,0,1
