,tourney_order,match_id,match_stats_url_suffix,match_time,match_duration,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_points_won,winner_service_points_total,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_service_games_played,winner_return_games_played,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_points_won,loser_service_points_total,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_service_games_played,loser_return_games_played,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total,winner_name,losers_name
0,1,2019-339-t786-mm58,/en/scores/2019/339/MS002/match-stats?isLive=False,01:22:58,82,17,2,52,77,36,52,7,25,10,13,43,77,5,33,5,19,1,1,10,10,10,52,53,129,10,1,33,52,28,33,14,19,0,1,42,52,16,52,18,25,3,13,10,10,34,77,76,129,Daniil Medvedev,Jo-Wilfried Tsonga
1,1,2019-339-ca12-n552,/en/scores/2019/339/MS003/match-stats?isLive=False,01:06:35,66,10,3,27,46,15,27,6,19,1,5,21,46,7,33,5,14,0,2,8,8,12,47,33,93,2,2,33,47,26,33,9,14,2,2,35,47,12,27,13,19,4,5,8,8,25,46,60,93,Kei Nishikori,Jeremy Chardy
2,1,2019-339-d875-n552,/en/scores/2019/339/MS007/match-stats?isLive=False,01:40:11,100,8,5,53,80,37,53,13,27,6,9,50,80,10,47,3,12,1,1,12,12,13,59,63,139,5,2,47,59,37,47,9,12,0,1,46,59,16,53,14,27,3,9,12,12,30,80,76,139,Kei Nishikori,Grigor Dimitrov
3,1,2019-339-mm58-n552,/en/scores/2019/339/MS001/match-stats?isLive=False,02:04:39,124,8,6,54,100,34,54,20,46,10,15,54,100,13,44,16,33,3,6,14,13,29,77,83,177,3,3,44,77,31,44,17,33,3,6,48,77,20,54,26,46,5,15,13,14,46,100,94,177,Kei Nishikori,Daniil Medvedev
4,1,2019-339-mm58-r975,/en/scores/2019/339/MS005/match-stats?isLive=False,02:09:09,129,12,3,68,105,48,68,25,37,8,8,73,105,10,56,19,38,2,4,16,15,29,94,102,199,29,5,56,94,46,56,19,38,2,4,65,94,20,68,12,37,0,8,15,16,32,105,97,199,Daniil Medvedev,Milos Raonic
5,1,2019-339-t786-dh58,/en/scores/2019/339/MS004/match-stats?isLive=False,01:46:11,106,12,2,43,68,34,43,15,25,4,5,49,68,22,60,12,21,2,6,11,11,34,81,83,149,1,2,60,81,38,60,9,21,4,6,47,81,9,43,10,25,1,5,11,11,19,68,66,149,Jo-Wilfried Tsonga,Alex de Minaur
6,1,2019-339-mm58-mc10,/en/scores/2019/339/MS010/match-stats?isLive=False,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andy Murray,Daniil Medvedev
7,1,2019-339-kb09-n552,/en/scores/2019/339/MS015/match-stats?isLive=False,01:19:36,79,5,3,36,60,26,36,8,24,4,7,34,60,5,32,9,24,0,0,10,10,14,56,48,116,7,2,32,56,27,32,15,24,0,0,42,56,10,36,16,24,3,7,10,10,26,60,68,116,Kei Nishikori,Denis Kudla
8,1,2019-339-ca12-u134,/en/scores/2019/339/MS006/match-stats?isLive=False,02:07:28,127,10,8,58,94,44,58,18,36,4,8,62,94,14,54,18,36,3,9,16,15,32,90,94,184,12,6,54,90,40,54,18,36,6,9,58,90,14,58,18,36,4,8,15,16,32,94,90,184,Jeremy Chardy,Yasutaka Uchiyama
9,1,2019-339-u134-e831,/en/scores/2019/339/MS013/match-stats?isLive=False,01:33:46,93,15,0,48,75,41,48,14,27,3,3,55,75,15,50,11,25,1,2,11,11,26,75,81,150,7,1,50,75,35,50,14,25,1,2,49,75,7,48,13,27,0,3,11,11,20,75,69,150,Yasutaka Uchiyama,Kyle Edmund
10,1,2019-339-ki95-r975,/en/scores/2019/339/MS011/match-stats?isLive=False,01:22:49,82,3,0,44,71,28,44,18,27,2,3,46,71,6,46,6,16,0,0,10,11,12,62,58,133,21,3,46,62,40,46,10,16,0,0,50,62,16,44,9,27,1,3,11,10,25,71,75,133,Milos Raonic,Miomir Kecmanovic
11,1,2019-339-tc61-dh58,/en/scores/2019/339/MS009/match-stats?isLive=False,01:20:54,80,5,0,39,56,30,39,3,17,3,6,33,56,9,38,3,11,0,0,9,9,12,49,45,105,1,1,38,49,29,38,8,11,0,0,37,49,9,39,14,17,3,6,9,9,23,56,60,105,Alex de Minaur,Jordan Thompson
12,1,2019-339-d875-mh30,/en/scores/2019/339/MS014/match-stats?isLive=False,01:28:13,88,6,2,35,63,27,35,13,28,2,4,40,63,19,37,8,18,4,7,10,9,27,55,67,118,1,1,37,55,18,37,10,18,3,7,28,55,8,35,15,28,2,4,9,10,23,63,51,118,Grigor Dimitrov,John Millman
13,1,2019-339-ke17-ca12,/en/scores/2019/339/MS012/match-stats?isLive=False,01:39:49,99,13,6,59,80,48,59,10,21,2,5,58,80,8,58,9,26,0,2,14,15,17,84,75,164,17,5,58,84,50,58,17,26,2,2,67,84,11,59,11,21,3,5,15,14,22,80,89,164,Jeremy Chardy,Nick Kyrgios
14,1,2019-339-d875-n732,/en/scores/2019/339/MS028/match-stats?isLive=False,01:19:42,79,9,6,43,76,37,43,12,33,6,7,49,76,12,33,7,14,3,3,10,9,19,47,68,123,1,1,33,47,21,33,7,14,0,3,28,47,6,43,21,33,1,7,9,10,27,76,55,123,Grigor Dimitrov,Yoshihito Nishioka
15,1,2019-339-da81-t786,/en/scores/2019/339/MS008/match-stats?isLive=False,01:40:37,100,3,7,51,85,34,51,11,34,6,11,45,85,7,37,16,27,3,7,11,10,23,64,68,149,11,3,37,64,30,37,11,27,4,7,41,64,17,51,23,34,5,11,10,11,40,85,81,149,Jo-Wilfried Tsonga,Taro Daniel
